input,output,category,complexity,type
Verwende 'entscheiden_var134' in einem Satz.,Wir müssen entscheiden_var134.,aktionen,4,sentence_generation
Was bedeutet 'traurig_var112'?,Bedürfnis nach Nahrung (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'traurig_var112'?,zustände,zustände,2,categorization
Verwende 'traurig_var112' in einem Satz.,Ich bin traurig_var112.,zustände,2,sentence_generation
Verwende 'traurig_var112' in einem Satz.,Du siehst traurig_var112 aus.,zustände,2,sentence_generation
Was bedeutet 'obwohle'?,Schlussfolgerung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'obwohle'?,logik,logik,5,categorization
Verwende 'obwohle' in einem Satz.,Obwohle das stimmt.,logik,5,sentence_generation
Verwende 'obwohle' in einem Satz.,Das ist obwohle wahr.,logik,5,sentence_generation
Was bedeutet 'rollenkriechen'?,Rhythmische Bewegung (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'rollenkriechen'?,bewegungen,bewegungen,2,categorization
Verwende 'rollenkriechen' in einem Satz.,Ich kann rollenkriechen.,bewegungen,2,sentence_generation
Verwende 'rollenkriechen' in einem Satz.,Wir rollenkriechen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'buch_var140'?,Öffnung in der Wand (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'buch_var140'?,objekte,objekte,1,categorization
Verwende 'buch_var140' in einem Satz.,Das ist ein buch_var140.,objekte,1,sentence_generation
Verwende 'buch_var140' in einem Satz.,Ich brauche einen buch_var140.,objekte,1,sentence_generation
Was bedeutet 'bewertenentscheiden'?,Etwas Neues schaffen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'bewertenentscheiden'?,aktionen,aktionen,4,categorization
Verwende 'bewertenentscheiden' in einem Satz.,Ich bewertenentscheiden darüber.,aktionen,4,sentence_generation
Verwende 'bewertenentscheiden' in einem Satz.,Wir müssen bewertenentscheiden.,aktionen,4,sentence_generation
Was bedeutet 'violettorange'?,Farbe der Erde (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'violettorange'?,farben,farben,1,categorization
Verwende 'violettorange' in einem Satz.,Das ist violettorange.,farben,1,sentence_generation
Verwende 'violettorange' in einem Satz.,Ich sehe etwas violettorangees.,farben,1,sentence_generation
Was bedeutet 'lösenbewerten'?,Systematisch untersuchen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'lösenbewerten'?,aktionen,aktionen,4,categorization
Verwende 'lösenbewerten' in einem Satz.,Ich lösenbewerten darüber.,aktionen,4,sentence_generation
Verwende 'lösenbewerten' in einem Satz.,Wir müssen lösenbewerten.,aktionen,4,sentence_generation
Was bedeutet 'viereins'?,Zahl 7 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'viereins'?,zahlen,zahlen,1,categorization
Verwende 'viereins' in einem Satz.,Ich zähle bis viereins.,zahlen,1,sentence_generation
Verwende 'viereins' in einem Satz.,Viereins Dinge.,zahlen,1,sentence_generation
Was bedeutet 'achteins'?,Zahl 9 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'achteins'?,zahlen,zahlen,1,categorization
Verwende 'achteins' in einem Satz.,Ich zähle bis achteins.,zahlen,1,sentence_generation
Verwende 'achteins' in einem Satz.,Achteins Dinge.,zahlen,1,sentence_generation
Was bedeutet 'oder_var121'?,Teilmenge (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'oder_var121'?,logik,logik,5,categorization
Verwende 'oder_var121' in einem Satz.,Oder_var121 das stimmt.,logik,5,sentence_generation
Verwende 'oder_var121' in einem Satz.,Das ist oder_var121 wahr.,logik,5,sentence_generation
Was bedeutet 'telefonlampe'?,Gerät für Licht (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'telefonlampe'?,objekte,objekte,1,categorization
Verwende 'telefonlampe' in einem Satz.,Das ist ein telefonlampe.,objekte,1,sentence_generation
Verwende 'telefonlampe' in einem Satz.,Ich brauche einen telefonlampe.,objekte,1,sentence_generation
Was bedeutet 'rosablau'?,Farbe des Himmels (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'rosablau'?,farben,farben,1,categorization
Verwende 'rosablau' in einem Satz.,Das ist rosablau.,farben,1,sentence_generation
Verwende 'rosablau' in einem Satz.,Ich sehe etwas rosablaues.,farben,1,sentence_generation
Was bedeutet 'grünrosa'?,Farbe der Sonne (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'grünrosa'?,farben,farben,1,categorization
Verwende 'grünrosa' in einem Satz.,Das ist grünrosa.,farben,1,sentence_generation
Verwende 'grünrosa' in einem Satz.,Ich sehe etwas grünrosaes.,farben,1,sentence_generation
Was bedeutet 'denkenbewerten'?,Vorgehensweise festlegen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'denkenbewerten'?,aktionen,aktionen,4,categorization
Verwende 'denkenbewerten' in einem Satz.,Ich denkenbewerten darüber.,aktionen,4,sentence_generation
Verwende 'denkenbewerten' in einem Satz.,Wir müssen denkenbewerten.,aktionen,4,sentence_generation
Was bedeutet 'schwimmenrennen'?,Sich drehend bewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'schwimmenrennen'?,bewegungen,bewegungen,2,categorization
Verwende 'schwimmenrennen' in einem Satz.,Ich kann schwimmenrennen.,bewegungen,2,sentence_generation
Verwende 'schwimmenrennen' in einem Satz.,Wir schwimmenrennen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'wenn_var110'?,Schlussfolgerung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'wenn_var110'?,logik,logik,5,categorization
Verwende 'wenn_var110' in einem Satz.,Wenn_var110 das stimmt.,logik,5,sentence_generation
Verwende 'wenn_var110' in einem Satz.,Das ist wenn_var110 wahr.,logik,5,sentence_generation
Was bedeutet 'schwarze'?,Helle rote Farbe (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'schwarze'?,farben,farben,1,categorization
Verwende 'schwarze' in einem Satz.,Das ist schwarze.,farben,1,sentence_generation
Verwende 'schwarze' in einem Satz.,Ich sehe etwas schwarzees.,farben,1,sentence_generation
Was bedeutet 'erschaffenentscheiden'?,Vorgehensweise festlegen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'erschaffenentscheiden'?,aktionen,aktionen,4,categorization
Verwende 'erschaffenentscheiden' in einem Satz.,Ich erschaffenentscheiden darüber.,aktionen,4,sentence_generation
Verwende 'erschaffenentscheiden' in einem Satz.,Wir müssen erschaffenentscheiden.,aktionen,4,sentence_generation
Was bedeutet 'rollengehen'?,Sich im Wasser fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'rollengehen'?,bewegungen,bewegungen,2,categorization
Verwende 'rollengehen' in einem Satz.,Ich kann rollengehen.,bewegungen,2,sentence_generation
Verwende 'rollengehen' in einem Satz.,Wir rollengehen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'kranke'?,Nicht schläfrig (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'kranke'?,zustände,zustände,2,categorization
Verwende 'kranke' in einem Satz.,Ich bin kranke.,zustände,2,sentence_generation
Verwende 'kranke' in einem Satz.,Du siehst kranke aus.,zustände,2,sentence_generation
Was bedeutet 'telefonhaus'?,Öffnung in der Wand (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'telefonhaus'?,objekte,objekte,1,categorization
Verwende 'telefonhaus' in einem Satz.,Das ist ein telefonhaus.,objekte,1,sentence_generation
Verwende 'telefonhaus' in einem Satz.,Ich brauche einen telefonhaus.,objekte,1,sentence_generation
Was bedeutet 'sechszehn'?,Zahl 8 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'sechszehn'?,zahlen,zahlen,1,categorization
Verwende 'sechszehn' in einem Satz.,Ich zähle bis sechszehn.,zahlen,1,sentence_generation
Verwende 'sechszehn' in einem Satz.,Sechszehn Dinge.,zahlen,1,sentence_generation
Was bedeutet 'wenne'?,Negation (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'wenne'?,logik,logik,5,categorization
Verwende 'wenne' in einem Satz.,Wenne das stimmt.,logik,5,sentence_generation
Verwende 'wenne' in einem Satz.,Das ist wenne wahr.,logik,5,sentence_generation
Was bedeutet 'krankkalt'?,Gefühl nach dem Essen (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'krankkalt'?,zustände,zustände,2,categorization
Verwende 'krankkalt' in einem Satz.,Ich bin krankkalt.,zustände,2,sentence_generation
Verwende 'krankkalt' in einem Satz.,Du siehst krankkalt aus.,zustände,2,sentence_generation
Was bedeutet 'wenndeshalb'?,Gegensatz (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'wenndeshalb'?,logik,logik,5,categorization
Verwende 'wenndeshalb' in einem Satz.,Wenndeshalb das stimmt.,logik,5,sentence_generation
Verwende 'wenndeshalb' in einem Satz.,Das ist wenndeshalb wahr.,logik,5,sentence_generation
Was bedeutet 'orange_var139'?,Abwesenheit von Licht (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'orange_var139'?,farben,farben,1,categorization
Verwende 'orange_var139' in einem Satz.,Das ist orange_var139.,farben,1,sentence_generation
Verwende 'orange_var139' in einem Satz.,Ich sehe etwas orange_var139es.,farben,1,sentence_generation
Was bedeutet 'lampetelefon'?,Gerät für Licht (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'lampetelefon'?,objekte,objekte,1,categorization
Verwende 'lampetelefon' in einem Satz.,Das ist ein lampetelefon.,objekte,1,sentence_generation
Verwende 'lampetelefon' in einem Satz.,Ich brauche einen lampetelefon.,objekte,1,sentence_generation
Was bedeutet 'orangee'?,Alle Farben gemischt (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'orangee'?,farben,farben,1,categorization
Verwende 'orangee' in einem Satz.,Das ist orangee.,farben,1,sentence_generation
Verwende 'orangee' in einem Satz.,Ich sehe etwas orangeees.,farben,1,sentence_generation
Was bedeutet 'zweizehn'?,Zahl 7 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'zweizehn'?,zahlen,zahlen,1,categorization
Verwende 'zweizehn' in einem Satz.,Ich zähle bis zweizehn.,zahlen,1,sentence_generation
Verwende 'zweizehn' in einem Satz.,Zweizehn Dinge.,zahlen,1,sentence_generation
Was bedeutet 'telefonbuch'?,Sammlung von Seiten (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'telefonbuch'?,objekte,objekte,1,categorization
Verwende 'telefonbuch' in einem Satz.,Das ist ein telefonbuch.,objekte,1,sentence_generation
Verwende 'telefonbuch' in einem Satz.,Ich brauche einen telefonbuch.,objekte,1,sentence_generation
Was bedeutet 'lernenplanen'?,Geistige Tätigkeit (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'lernenplanen'?,aktionen,aktionen,4,categorization
Verwende 'lernenplanen' in einem Satz.,Ich lernenplanen darüber.,aktionen,4,sentence_generation
Verwende 'lernenplanen' in einem Satz.,Wir müssen lernenplanen.,aktionen,4,sentence_generation
Was bedeutet 'gleitengehen'?,Sich schnell fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'gleitengehen'?,bewegungen,bewegungen,2,categorization
Verwende 'gleitengehen' in einem Satz.,Ich kann gleitengehen.,bewegungen,2,sentence_generation
Verwende 'gleitengehen' in einem Satz.,Wir gleitengehen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'kalte'?,Bedürfnis nach Schlaf (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'kalte'?,zustände,zustände,2,categorization
Verwende 'kalte' in einem Satz.,Ich bin kalte.,zustände,2,sentence_generation
Verwende 'kalte' in einem Satz.,Du siehst kalte aus.,zustände,2,sentence_generation
Was bedeutet 'dann'?,Folge,logik,5,word_meaning
Zu welcher Kategorie gehört 'dann'?,logik,logik,5,categorization
Verwende 'dann' in einem Satz.,Dann das stimmt.,logik,5,sentence_generation
Verwende 'dann' in einem Satz.,Das ist dann wahr.,logik,5,sentence_generation
Was bedeutet 'entscheidendenken'?,Vorgehensweise festlegen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'entscheidendenken'?,aktionen,aktionen,4,categorization
Verwende 'entscheidendenken' in einem Satz.,Ich entscheidendenken darüber.,aktionen,4,sentence_generation
Verwende 'entscheidendenken' in einem Satz.,Wir müssen entscheidendenken.,aktionen,4,sentence_generation
Was bedeutet 'kriechenrollen'?,Sich am Boden fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'kriechenrollen'?,bewegungen,bewegungen,2,categorization
Verwende 'kriechenrollen' in einem Satz.,Ich kann kriechenrollen.,bewegungen,2,sentence_generation
Verwende 'kriechenrollen' in einem Satz.,Wir kriechenrollen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'warmkalt'?,Negative Emotion (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'warmkalt'?,zustände,zustände,2,categorization
Verwende 'warmkalt' in einem Satz.,Ich bin warmkalt.,zustände,2,sentence_generation
Verwende 'warmkalt' in einem Satz.,Du siehst warmkalt aus.,zustände,2,sentence_generation
Was bedeutet 'undeinige'?,Schlussfolgerung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'undeinige'?,logik,logik,5,categorization
Verwende 'undeinige' in einem Satz.,Undeinige das stimmt.,logik,5,sentence_generation
Verwende 'undeinige' in einem Satz.,Das ist undeinige wahr.,logik,5,sentence_generation
Was bedeutet 'braun_var125'?,Farbe des Himmels (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'braun_var125'?,farben,farben,1,categorization
Verwende 'braun_var125' in einem Satz.,Das ist braun_var125.,farben,1,sentence_generation
Verwende 'braun_var125' in einem Satz.,Ich sehe etwas braun_var125es.,farben,1,sentence_generation
Was bedeutet 'rosagelb'?,Farbe des Himmels (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'rosagelb'?,farben,farben,1,categorization
Verwende 'rosagelb' in einem Satz.,Das ist rosagelb.,farben,1,sentence_generation
Verwende 'rosagelb' in einem Satz.,Ich sehe etwas rosagelbes.,farben,1,sentence_generation
Was bedeutet 'verstehen'?,Bedeutung erfassen,aktionen,4,word_meaning
Zu welcher Kategorie gehört 'verstehen'?,aktionen,aktionen,4,categorization
Verwende 'verstehen' in einem Satz.,Ich verstehen darüber.,aktionen,4,sentence_generation
Verwende 'verstehen' in einem Satz.,Wir müssen verstehen.,aktionen,4,sentence_generation
Was bedeutet 'dannoder'?,Verbindung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'dannoder'?,logik,logik,5,categorization
Verwende 'dannoder' in einem Satz.,Dannoder das stimmt.,logik,5,sentence_generation
Verwende 'dannoder' in einem Satz.,Das ist dannoder wahr.,logik,5,sentence_generation
Was bedeutet 'glücklichkalt'?,Gefühl nach dem Essen (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'glücklichkalt'?,zustände,zustände,2,categorization
Verwende 'glücklichkalt' in einem Satz.,Ich bin glücklichkalt.,zustände,2,sentence_generation
Verwende 'glücklichkalt' in einem Satz.,Du siehst glücklichkalt aus.,zustände,2,sentence_generation
Was bedeutet 'kalt_var123'?,Bedürfnis nach Schlaf (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'kalt_var123'?,zustände,zustände,2,categorization
Verwende 'kalt_var123' in einem Satz.,Ich bin kalt_var123.,zustände,2,sentence_generation
Verwende 'kalt_var123' in einem Satz.,Du siehst kalt_var123 aus.,zustände,2,sentence_generation
Was bedeutet 'analysierenlernen'?,Etwas Neues schaffen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'analysierenlernen'?,aktionen,aktionen,4,categorization
Verwende 'analysierenlernen' in einem Satz.,Ich analysierenlernen darüber.,aktionen,4,sentence_generation
Verwende 'analysierenlernen' in einem Satz.,Wir müssen analysierenlernen.,aktionen,4,sentence_generation
Was bedeutet 'tisch'?,Möbel zum Arbeiten,objekte,1,word_meaning
Zu welcher Kategorie gehört 'tisch'?,objekte,objekte,1,categorization
Verwende 'tisch' in einem Satz.,Das ist ein tisch.,objekte,1,sentence_generation
Verwende 'tisch' in einem Satz.,Ich brauche einen tisch.,objekte,1,sentence_generation
Was bedeutet 'entscheiden_var107'?,Systematisch untersuchen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'entscheiden_var107'?,aktionen,aktionen,4,categorization
Verwende 'entscheiden_var107' in einem Satz.,Ich entscheiden_var107 darüber.,aktionen,4,sentence_generation
Verwende 'entscheiden_var107' in einem Satz.,Wir müssen entscheiden_var107.,aktionen,4,sentence_generation
Was bedeutet 'siebenacht'?,Zahl 8 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'siebenacht'?,zahlen,zahlen,1,categorization
Verwende 'siebenacht' in einem Satz.,Ich zähle bis siebenacht.,zahlen,1,sentence_generation
Verwende 'siebenacht' in einem Satz.,Siebenacht Dinge.,zahlen,1,sentence_generation
Was bedeutet 'schwarz_var131'?,Farbe des Blutes (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'schwarz_var131'?,farben,farben,1,categorization
Verwende 'schwarz_var131' in einem Satz.,Das ist schwarz_var131.,farben,1,sentence_generation
Verwende 'schwarz_var131' in einem Satz.,Ich sehe etwas schwarz_var131es.,farben,1,sentence_generation
Was bedeutet 'glücklich_var136'?,Positive Emotion (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'glücklich_var136'?,zustände,zustände,2,categorization
Verwende 'glücklich_var136' in einem Satz.,Ich bin glücklich_var136.,zustände,2,sentence_generation
Verwende 'glücklich_var136' in einem Satz.,Du siehst glücklich_var136 aus.,zustände,2,sentence_generation
Was bedeutet 'erschaffenplanen'?,Wahl treffen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'erschaffenplanen'?,aktionen,aktionen,4,categorization
Verwende 'erschaffenplanen' in einem Satz.,Ich erschaffenplanen darüber.,aktionen,4,sentence_generation
Verwende 'erschaffenplanen' in einem Satz.,Wir müssen erschaffenplanen.,aktionen,4,sentence_generation
Was bedeutet 'traurig_var137'?,Bedürfnis nach Nahrung (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'traurig_var137'?,zustände,zustände,2,categorization
Verwende 'traurig_var137' in einem Satz.,Ich bin traurig_var137.,zustände,2,sentence_generation
Verwende 'traurig_var137' in einem Satz.,Du siehst traurig_var137 aus.,zustände,2,sentence_generation
Was bedeutet 'fünf'?,Zahl 5,zahlen,1,word_meaning
Zu welcher Kategorie gehört 'fünf'?,zahlen,zahlen,1,categorization
Verwende 'fünf' in einem Satz.,Ich zähle bis fünf.,zahlen,1,sentence_generation
Verwende 'fünf' in einem Satz.,Fünf Dinge.,zahlen,1,sentence_generation
Was bedeutet 'tanzen_var118'?,Rhythmische Bewegung (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'tanzen_var118'?,bewegungen,bewegungen,2,categorization
Verwende 'tanzen_var118' in einem Satz.,Ich kann tanzen_var118.,bewegungen,2,sentence_generation
Verwende 'tanzen_var118' in einem Satz.,Wir tanzen_var118 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'rot_var117'?,Farbe des Himmels (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'rot_var117'?,farben,farben,1,categorization
Verwende 'rot_var117' in einem Satz.,Das ist rot_var117.,farben,1,sentence_generation
Verwende 'rot_var117' in einem Satz.,Ich sehe etwas rot_var117es.,farben,1,sentence_generation
Was bedeutet 'weiloder'?,Teilmenge (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'weiloder'?,logik,logik,5,categorization
Verwende 'weiloder' in einem Satz.,Weiloder das stimmt.,logik,5,sentence_generation
Verwende 'weiloder' in einem Satz.,Das ist weiloder wahr.,logik,5,sentence_generation
Was bedeutet 'traurigwach'?,Negative Emotion (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'traurigwach'?,zustände,zustände,2,categorization
Verwende 'traurigwach' in einem Satz.,Ich bin traurigwach.,zustände,2,sentence_generation
Verwende 'traurigwach' in einem Satz.,Du siehst traurigwach aus.,zustände,2,sentence_generation
Was bedeutet 'deshalbobwohl'?,Folge (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'deshalbobwohl'?,logik,logik,5,categorization
Verwende 'deshalbobwohl' in einem Satz.,Deshalbobwohl das stimmt.,logik,5,sentence_generation
Verwende 'deshalbobwohl' in einem Satz.,Das ist deshalbobwohl wahr.,logik,5,sentence_generation
Was bedeutet 'kaltwarm'?,Niedrige Temperatur (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'kaltwarm'?,zustände,zustände,2,categorization
Verwende 'kaltwarm' in einem Satz.,Ich bin kaltwarm.,zustände,2,sentence_generation
Verwende 'kaltwarm' in einem Satz.,Du siehst kaltwarm aus.,zustände,2,sentence_generation
Was bedeutet 'einige_var133'?,Begründung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'einige_var133'?,logik,logik,5,categorization
Verwende 'einige_var133' in einem Satz.,Einige_var133 das stimmt.,logik,5,sentence_generation
Verwende 'einige_var133' in einem Satz.,Das ist einige_var133 wahr.,logik,5,sentence_generation
Was bedeutet 'oder'?,Alternative,logik,5,word_meaning
Zu welcher Kategorie gehört 'oder'?,logik,logik,5,categorization
Verwende 'oder' in einem Satz.,Oder das stimmt.,logik,5,sentence_generation
Verwende 'oder' in einem Satz.,Das ist oder wahr.,logik,5,sentence_generation
Was bedeutet 'gehentanzen'?,Reibungslos bewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'gehentanzen'?,bewegungen,bewegungen,2,categorization
Verwende 'gehentanzen' in einem Satz.,Ich kann gehentanzen.,bewegungen,2,sentence_generation
Verwende 'gehentanzen' in einem Satz.,Wir gehentanzen zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'braun_var123'?,Farbe der Blätter (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'braun_var123'?,farben,farben,1,categorization
Verwende 'braun_var123' in einem Satz.,Das ist braun_var123.,farben,1,sentence_generation
Verwende 'braun_var123' in einem Satz.,Ich sehe etwas braun_var123es.,farben,1,sentence_generation
Was bedeutet 'grünbraun'?,Abwesenheit von Licht (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'grünbraun'?,farben,farben,1,categorization
Verwende 'grünbraun' in einem Satz.,Das ist grünbraun.,farben,1,sentence_generation
Verwende 'grünbraun' in einem Satz.,Ich sehe etwas grünbraunes.,farben,1,sentence_generation
Was bedeutet 'verstehen_var105'?,Wissen aufnehmen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'verstehen_var105'?,aktionen,aktionen,4,categorization
Verwende 'verstehen_var105' in einem Satz.,Ich verstehen_var105 darüber.,aktionen,4,sentence_generation
Verwende 'verstehen_var105' in einem Satz.,Wir müssen verstehen_var105.,aktionen,4,sentence_generation
Was bedeutet 'haus_var124'?,Fahrzeug für Straßen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'haus_var124'?,objekte,objekte,1,categorization
Verwende 'haus_var124' in einem Satz.,Das ist ein haus_var124.,objekte,1,sentence_generation
Verwende 'haus_var124' in einem Satz.,Ich brauche einen haus_var124.,objekte,1,sentence_generation
Was bedeutet 'zehn_var140'?,Zahl 8 (Variante),zahlen,1,word_meaning
Zu welcher Kategorie gehört 'zehn_var140'?,zahlen,zahlen,1,categorization
Verwende 'zehn_var140' in einem Satz.,Ich zähle bis zehn_var140.,zahlen,1,sentence_generation
Verwende 'zehn_var140' in einem Satz.,Zehn_var140 Dinge.,zahlen,1,sentence_generation
Was bedeutet 'tischlampe'?,Fahrzeug für Straßen (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'tischlampe'?,objekte,objekte,1,categorization
Verwende 'tischlampe' in einem Satz.,Das ist ein tischlampe.,objekte,1,sentence_generation
Verwende 'tischlampe' in einem Satz.,Ich brauche einen tischlampe.,objekte,1,sentence_generation
Was bedeutet 'sattkrank'?,Negative Emotion (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'sattkrank'?,zustände,zustände,2,categorization
Verwende 'sattkrank' in einem Satz.,Ich bin sattkrank.,zustände,2,sentence_generation
Verwende 'sattkrank' in einem Satz.,Du siehst sattkrank aus.,zustände,2,sentence_generation
Was bedeutet 'oderdann'?,Schlussfolgerung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'oderdann'?,logik,logik,5,categorization
Verwende 'oderdann' in einem Satz.,Oderdann das stimmt.,logik,5,sentence_generation
Verwende 'oderdann' in einem Satz.,Das ist oderdann wahr.,logik,5,sentence_generation
Was bedeutet 'schwimmen_var129'?,Sich langsam fortbewegen (Variante),bewegungen,2,word_meaning
Zu welcher Kategorie gehört 'schwimmen_var129'?,bewegungen,bewegungen,2,categorization
Verwende 'schwimmen_var129' in einem Satz.,Ich kann schwimmen_var129.,bewegungen,2,sentence_generation
Verwende 'schwimmen_var129' in einem Satz.,Wir schwimmen_var129 zusammen.,bewegungen,2,sentence_generation
Was bedeutet 'lösenlernen'?,Qualität beurteilen (Variante),aktionen,4,word_meaning
Zu welcher Kategorie gehört 'lösenlernen'?,aktionen,aktionen,4,categorization
Verwende 'lösenlernen' in einem Satz.,Ich lösenlernen darüber.,aktionen,4,sentence_generation
Verwende 'lösenlernen' in einem Satz.,Wir müssen lösenlernen.,aktionen,4,sentence_generation
Was bedeutet 'warm'?,Hohe Temperatur,zustände,2,word_meaning
Zu welcher Kategorie gehört 'warm'?,zustände,zustände,2,categorization
Verwende 'warm' in einem Satz.,Ich bin warm.,zustände,2,sentence_generation
Verwende 'warm' in einem Satz.,Du siehst warm aus.,zustände,2,sentence_generation
Was bedeutet 'blauviolett'?,Farbe der Erde (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'blauviolett'?,farben,farben,1,categorization
Verwende 'blauviolett' in einem Satz.,Das ist blauviolett.,farben,1,sentence_generation
Verwende 'blauviolett' in einem Satz.,Ich sehe etwas blauviolettes.,farben,1,sentence_generation
Was bedeutet 'baumtisch'?,Möbel zum Arbeiten (Variante),objekte,1,word_meaning
Zu welcher Kategorie gehört 'baumtisch'?,objekte,objekte,1,categorization
Verwende 'baumtisch' in einem Satz.,Das ist ein baumtisch.,objekte,1,sentence_generation
Verwende 'baumtisch' in einem Satz.,Ich brauche einen baumtisch.,objekte,1,sentence_generation
Was bedeutet 'gelb_var127'?,Farbe der Blätter (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'gelb_var127'?,farben,farben,1,categorization
Verwende 'gelb_var127' in einem Satz.,Das ist gelb_var127.,farben,1,sentence_generation
Verwende 'gelb_var127' in einem Satz.,Ich sehe etwas gelb_var127es.,farben,1,sentence_generation
Was bedeutet 'krankmüde'?,Gefühl nach dem Essen (Variante),zustände,2,word_meaning
Zu welcher Kategorie gehört 'krankmüde'?,zustände,zustände,2,categorization
Verwende 'krankmüde' in einem Satz.,Ich bin krankmüde.,zustände,2,sentence_generation
Verwende 'krankmüde' in einem Satz.,Du siehst krankmüde aus.,zustände,2,sentence_generation
Was bedeutet 'violettrosa'?,Farbe des Blutes (Variante),farben,1,word_meaning
Zu welcher Kategorie gehört 'violettrosa'?,farben,farben,1,categorization
Verwende 'violettrosa' in einem Satz.,Das ist violettrosa.,farben,1,sentence_generation
Verwende 'violettrosa' in einem Satz.,Ich sehe etwas violettrosaes.,farben,1,sentence_generation
Was bedeutet 'einigealle'?,Schlussfolgerung (Variante),logik,5,word_meaning
Zu welcher Kategorie gehört 'einigealle'?,logik,logik,5,categorization
Verwende 'einigealle' in einem Satz.,Einigealle das stimmt.,logik,5,sentence_generation
