word,category,meaning,complexity,examples
telefonbuch,objekte,Sammlung von Seiten (Variante),1,"['Das ist ein telefonbuch.', 'Ich brauche einen telefonbuch.', 'Der telefonbuch ist hier.']"
lernenplanen,aktionen,Geistige Tätigkeit (Variante),4,"['Ich lernenplanen darüber.', 'Wir müssen lernenplanen.', 'Lernenplanen ist wichtig.']"
gleitengehen,bewegungen,Sich schnell fortbewegen (Variante),2,"['Ich kann gleitengehen.', 'Wir gleitengehen zusammen.', 'Gleitengehen ist eine Bewegung.']"
kalte,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin kalte.', 'Du siehst kalte aus.', 'Kalte fühlen ist normal.']"
dann,logik,Folge,5,"['Dann das stimmt.', 'Das ist dann wahr.', 'Dann bedeutet...']"
entscheidendenken,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich entscheidendenken darüber.', 'Wir müssen entscheidendenken.', 'Entscheidendenken ist wichtig.']"
kriechenrollen,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann kriechenrollen.', 'Wir kriechenrollen zusammen.', 'Kriechenrollen ist eine Bewegung.']"
warmkalt,zustände,Negative Emotion (Variante),2,"['Ich bin warmkalt.', 'Du siehst warmkalt aus.', 'Warmkalt fühlen ist normal.']"
undeinige,logik,Schlussfolgerung (Variante),5,"['Undeinige das stimmt.', 'Das ist undeinige wahr.', 'Undeinige bedeutet...']"
braun_var125,farben,Farbe des Himmels (Variante),1,"['Das ist braun_var125.', 'Ich sehe etwas braun_var125es.', 'Braun_var125 ist eine Farbe.']"
rosagelb,farben,Farbe des Himmels (Variante),1,"['Das ist rosagelb.', 'Ich sehe etwas rosagelbes.', 'Rosagelb ist eine Farbe.']"
verstehen,aktionen,Bedeutung erfassen,4,"['Ich verstehen darüber.', 'Wir müssen verstehen.', 'Verstehen ist wichtig.']"
dannoder,logik,Verbindung (Variante),5,"['Dannoder das stimmt.', 'Das ist dannoder wahr.', 'Dannoder bedeutet...']"
glücklichkalt,zustände,Gefühl nach dem Essen (Variante),2,"['Ich bin glücklichkalt.', 'Du siehst glücklichkalt aus.', 'Glücklichkalt fühlen ist normal.']"
kalt_var123,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin kalt_var123.', 'Du siehst kalt_var123 aus.', 'Kalt_var123 fühlen ist normal.']"
analysierenlernen,aktionen,Etwas Neues schaffen (Variante),4,"['Ich analysierenlernen darüber.', 'Wir müssen analysierenlernen.', 'Analysierenlernen ist wichtig.']"
tisch,objekte,Möbel zum Arbeiten,1,"['Das ist ein tisch.', 'Ich brauche einen tisch.', 'Der tisch ist hier.']"
entscheiden_var107,aktionen,Systematisch untersuchen (Variante),4,"['Ich entscheiden_var107 darüber.', 'Wir müssen entscheiden_var107.', 'Entscheiden_var107 ist wichtig.']"
siebenacht,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis siebenacht.', 'Siebenacht Dinge.', 'Das sind siebenacht Objekte.']"
schwarz_var131,farben,Farbe des Blutes (Variante),1,"['Das ist schwarz_var131.', 'Ich sehe etwas schwarz_var131es.', 'Schwarz_var131 ist eine Farbe.']"
glücklich_var136,zustände,Positive Emotion (Variante),2,"['Ich bin glücklich_var136.', 'Du siehst glücklich_var136 aus.', 'Glücklich_var136 fühlen ist normal.']"
erschaffenplanen,aktionen,Wahl treffen (Variante),4,"['Ich erschaffenplanen darüber.', 'Wir müssen erschaffenplanen.', 'Erschaffenplanen ist wichtig.']"
traurig_var137,zustände,Bedürfnis nach Nahrung (Variante),2,"['Ich bin traurig_var137.', 'Du siehst traurig_var137 aus.', 'Traurig_var137 fühlen ist normal.']"
fünf,zahlen,Zahl 5,1,"['Ich zähle bis fünf.', 'Fünf Dinge.', 'Das sind fünf Objekte.']"
tanzen_var118,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann tanzen_var118.', 'Wir tanzen_var118 zusammen.', 'Tanzen_var118 ist eine Bewegung.']"
rot_var117,farben,Farbe des Himmels (Variante),1,"['Das ist rot_var117.', 'Ich sehe etwas rot_var117es.', 'Rot_var117 ist eine Farbe.']"
weiloder,logik,Teilmenge (Variante),5,"['Weiloder das stimmt.', 'Das ist weiloder wahr.', 'Weiloder bedeutet...']"
traurigwach,zustände,Negative Emotion (Variante),2,"['Ich bin traurigwach.', 'Du siehst traurigwach aus.', 'Traurigwach fühlen ist normal.']"
deshalbobwohl,logik,Folge (Variante),5,"['Deshalbobwohl das stimmt.', 'Das ist deshalbobwohl wahr.', 'Deshalbobwohl bedeutet...']"
kaltwarm,zustände,Niedrige Temperatur (Variante),2,"['Ich bin kaltwarm.', 'Du siehst kaltwarm aus.', 'Kaltwarm fühlen ist normal.']"
einige_var133,logik,Begründung (Variante),5,"['Einige_var133 das stimmt.', 'Das ist einige_var133 wahr.', 'Einige_var133 bedeutet...']"
oder,logik,Alternative,5,"['Oder das stimmt.', 'Das ist oder wahr.', 'Oder bedeutet...']"
gehentanzen,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann gehentanzen.', 'Wir gehentanzen zusammen.', 'Gehentanzen ist eine Bewegung.']"
braun_var123,farben,Farbe der Blätter (Variante),1,"['Das ist braun_var123.', 'Ich sehe etwas braun_var123es.', 'Braun_var123 ist eine Farbe.']"
grünbraun,farben,Abwesenheit von Licht (Variante),1,"['Das ist grünbraun.', 'Ich sehe etwas grünbraunes.', 'Grünbraun ist eine Farbe.']"
verstehen_var105,aktionen,Wissen aufnehmen (Variante),4,"['Ich verstehen_var105 darüber.', 'Wir müssen verstehen_var105.', 'Verstehen_var105 ist wichtig.']"
haus_var124,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein haus_var124.', 'Ich brauche einen haus_var124.', 'Der haus_var124 ist hier.']"
zehn_var140,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis zehn_var140.', 'Zehn_var140 Dinge.', 'Das sind zehn_var140 Objekte.']"
tischlampe,objekte,Fahrzeug für Straßen (Variante),1,"['Das ist ein tischlampe.', 'Ich brauche einen tischlampe.', 'Der tischlampe ist hier.']"
sattkrank,zustände,Negative Emotion (Variante),2,"['Ich bin sattkrank.', 'Du siehst sattkrank aus.', 'Sattkrank fühlen ist normal.']"
oderdann,logik,Schlussfolgerung (Variante),5,"['Oderdann das stimmt.', 'Das ist oderdann wahr.', 'Oderdann bedeutet...']"
schwimmen_var129,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann schwimmen_var129.', 'Wir schwimmen_var129 zusammen.', 'Schwimmen_var129 ist eine Bewegung.']"
lösenlernen,aktionen,Qualität beurteilen (Variante),4,"['Ich lösenlernen darüber.', 'Wir müssen lösenlernen.', 'Lösenlernen ist wichtig.']"
warm,zustände,Hohe Temperatur,2,"['Ich bin warm.', 'Du siehst warm aus.', 'Warm fühlen ist normal.']"
blauviolett,farben,Farbe der Erde (Variante),1,"['Das ist blauviolett.', 'Ich sehe etwas blauviolettes.', 'Blauviolett ist eine Farbe.']"
baumtisch,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein baumtisch.', 'Ich brauche einen baumtisch.', 'Der baumtisch ist hier.']"
gelb_var127,farben,Farbe der Blätter (Variante),1,"['Das ist gelb_var127.', 'Ich sehe etwas gelb_var127es.', 'Gelb_var127 ist eine Farbe.']"
krankmüde,zustände,Gefühl nach dem Essen (Variante),2,"['Ich bin krankmüde.', 'Du siehst krankmüde aus.', 'Krankmüde fühlen ist normal.']"
violettrosa,farben,Farbe des Blutes (Variante),1,"['Das ist violettrosa.', 'Ich sehe etwas violettrosaes.', 'Violettrosa ist eine Farbe.']"
einigealle,logik,Schlussfolgerung (Variante),5,"['Einigealle das stimmt.', 'Das ist einigealle wahr.', 'Einigealle bedeutet...']"
computerbaum,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein computerbaum.', 'Ich brauche einen computerbaum.', 'Der computerbaum ist hier.']"
alleoder,logik,Teilmenge (Variante),5,"['Alleoder das stimmt.', 'Das ist alleoder wahr.', 'Alleoder bedeutet...']"
vieracht,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis vieracht.', 'Vieracht Dinge.', 'Das sind vieracht Objekte.']"
schwimmenrollen,bewegungen,Sich drehend bewegen (Variante),2,"['Ich kann schwimmenrollen.', 'Wir schwimmenrollen zusammen.', 'Schwimmenrollen ist eine Bewegung.']"
weiße,farben,Alle Farben gemischt (Variante),1,"['Das ist weiße.', 'Ich sehe etwas weißees.', 'Weiße ist eine Farbe.']"
buchcomputer,objekte,Große Pflanze mit Stamm (Variante),1,"['Das ist ein buchcomputer.', 'Ich brauche einen buchcomputer.', 'Der buchcomputer ist hier.']"
springengehen,bewegungen,Sich durch die Luft bewegen (Variante),2,"['Ich kann springengehen.', 'Wir springengehen zusammen.', 'Springengehen ist eine Bewegung.']"
erklären_var100,aktionen,Qualität beurteilen (Variante),4,"['Ich erklären_var100 darüber.', 'Wir müssen erklären_var100.', 'Erklären_var100 ist wichtig.']"
nicht_var115,logik,Negation (Variante),5,"['Nicht_var115 das stimmt.', 'Das ist nicht_var115 wahr.', 'Nicht_var115 bedeutet...']"
erschaffenbewerten,aktionen,Geistige Tätigkeit (Variante),4,"['Ich erschaffenbewerten darüber.', 'Wir müssen erschaffenbewerten.', 'Erschaffenbewerten ist wichtig.']"
zweidrei,zahlen,Zahl 1 (Variante),1,"['Ich zähle bis zweidrei.', 'Zweidrei Dinge.', 'Das sind zweidrei Objekte.']"
einigeoder,logik,Schlussfolgerung (Variante),5,"['Einigeoder das stimmt.', 'Das ist einigeoder wahr.', 'Einigeoder bedeutet...']"
laufenrollen,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann laufenrollen.', 'Wir laufenrollen zusammen.', 'Laufenrollen ist eine Bewegung.']"
fensterbuch,objekte,Gerät für Licht (Variante),1,"['Das ist ein fensterbuch.', 'Ich brauche einen fensterbuch.', 'Der fensterbuch ist hier.']"
gehenschwimmen,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann gehenschwimmen.', 'Wir gehenschwimmen zusammen.', 'Gehenschwimmen ist eine Bewegung.']"
zehnfünf,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis zehnfünf.', 'Zehnfünf Dinge.', 'Das sind zehnfünf Objekte.']"
verstehen_var123,aktionen,Problem beheben (Variante),4,"['Ich verstehen_var123 darüber.', 'Wir müssen verstehen_var123.', 'Verstehen_var123 ist wichtig.']"
blaurot,farben,Mischfarbe rot-blau (Variante),1,"['Das ist blaurot.', 'Ich sehe etwas blaurotes.', 'Blaurot ist eine Farbe.']"
gelbblau,farben,Farbe der Erde (Variante),1,"['Das ist gelbblau.', 'Ich sehe etwas gelbblaues.', 'Gelbblau ist eine Farbe.']"
verstehendenken,aktionen,Wissen aufnehmen (Variante),4,"['Ich verstehendenken darüber.', 'Wir müssen verstehendenken.', 'Verstehendenken ist wichtig.']"
tanzenfliegen,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann tanzenfliegen.', 'Wir tanzenfliegen zusammen.', 'Tanzenfliegen ist eine Bewegung.']"
denkenverstehen,aktionen,Etwas Neues schaffen (Variante),4,"['Ich denkenverstehen darüber.', 'Wir müssen denkenverstehen.', 'Denkenverstehen ist wichtig.']"
obwohlwenn,logik,Alternative (Variante),5,"['Obwohlwenn das stimmt.', 'Das ist obwohlwenn wahr.', 'Obwohlwenn bedeutet...']"
kalt_var119,zustände,Hohe Temperatur (Variante),2,"['Ich bin kalt_var119.', 'Du siehst kalt_var119 aus.', 'Kalt_var119 fühlen ist normal.']"
zwei_var116,zahlen,Zahl 10 (Variante),1,"['Ich zähle bis zwei_var116.', 'Zwei_var116 Dinge.', 'Das sind zwei_var116 Objekte.']"
laufen_var121,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann laufen_var121.', 'Wir laufen_var121 zusammen.', 'Laufen_var121 ist eine Bewegung.']"
und_var122,logik,Verbindung (Variante),5,"['Und_var122 das stimmt.', 'Das ist und_var122 wahr.', 'Und_var122 bedeutet...']"
sechsacht,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis sechsacht.', 'Sechsacht Dinge.', 'Das sind sechsacht Objekte.']"
buchtelefon,objekte,Gerät für Licht (Variante),1,"['Das ist ein buchtelefon.', 'Ich brauche einen buchtelefon.', 'Der buchtelefon ist hier.']"
alledeshalb,logik,Begründung (Variante),5,"['Alledeshalb das stimmt.', 'Das ist alledeshalb wahr.', 'Alledeshalb bedeutet...']"
obwohlnicht,logik,Schlussfolgerung (Variante),5,"['Obwohlnicht das stimmt.', 'Das ist obwohlnicht wahr.', 'Obwohlnicht bedeutet...']"
baumcomputer,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein baumcomputer.', 'Ich brauche einen baumcomputer.', 'Der baumcomputer ist hier.']"
obwohlund,logik,Alternative (Variante),5,"['Obwohlund das stimmt.', 'Das ist obwohlund wahr.', 'Obwohlund bedeutet...']"
weil_var141,logik,Folge (Variante),5,"['Weil_var141 das stimmt.', 'Das ist weil_var141 wahr.', 'Weil_var141 bedeutet...']"
springenkriechen,bewegungen,Rhythmische Bewegung (Variante),2,"['Ich kann springenkriechen.', 'Wir springenkriechen zusammen.', 'Springenkriechen ist eine Bewegung.']"
schwimmengleiten,bewegungen,Sich in die Luft bewegen (Variante),2,"['Ich kann schwimmengleiten.', 'Wir schwimmengleiten zusammen.', 'Schwimmengleiten ist eine Bewegung.']"
buchhaus,objekte,Möbel zum Arbeiten (Variante),1,"['Das ist ein buchhaus.', 'Ich brauche einen buchhaus.', 'Der buchhaus ist hier.']"
dannund,logik,Verbindung (Variante),5,"['Dannund das stimmt.', 'Das ist dannund wahr.', 'Dannund bedeutet...']"
weiß_var138,farben,Alle Farben gemischt (Variante),1,"['Das ist weiß_var138.', 'Ich sehe etwas weiß_var138es.', 'Weiß_var138 ist eine Farbe.']"
zwei,zahlen,Zahl 2,1,"['Ich zähle bis zwei.', 'Zwei Dinge.', 'Das sind zwei Objekte.']"
glücklichkrank,zustände,Bedürfnis nach Nahrung (Variante),2,"['Ich bin glücklichkrank.', 'Du siehst glücklichkrank aus.', 'Glücklichkrank fühlen ist normal.']"
oderdeshalb,logik,Begründung (Variante),5,"['Oderdeshalb das stimmt.', 'Das ist oderdeshalb wahr.', 'Oderdeshalb bedeutet...']"
deshalboder,logik,Bedingung (Variante),5,"['Deshalboder das stimmt.', 'Das ist deshalboder wahr.', 'Deshalboder bedeutet...']"
rotschwarz,farben,Farbe des Himmels (Variante),1,"['Das ist rotschwarz.', 'Ich sehe etwas rotschwarzes.', 'Rotschwarz ist eine Farbe.']"
fliegenspringen,bewegungen,Sich durch die Luft bewegen (Variante),2,"['Ich kann fliegenspringen.', 'Wir fliegenspringen zusammen.', 'Fliegenspringen ist eine Bewegung.']"
deshalbweil,logik,Negation (Variante),5,"['Deshalbweil das stimmt.', 'Das ist deshalbweil wahr.', 'Deshalbweil bedeutet...']"
obwohleinige,logik,Teilmenge (Variante),5,"['Obwohleinige das stimmt.', 'Das ist obwohleinige wahr.', 'Obwohleinige bedeutet...']"
krankhungrig,zustände,Nicht schläfrig (Variante),2,"['Ich bin krankhungrig.', 'Du siehst krankhungrig aus.', 'Krankhungrig fühlen ist normal.']"
rosa_var132,farben,Farbe der Blätter (Variante),1,"['Das ist rosa_var132.', 'Ich sehe etwas rosa_var132es.', 'Rosa_var132 ist eine Farbe.']"
weißbraun,farben,Mischfarbe rot-gelb (Variante),1,"['Das ist weißbraun.', 'Ich sehe etwas weißbraunes.', 'Weißbraun ist eine Farbe.']"
verstehenbewerten,aktionen,Bedeutung erfassen (Variante),4,"['Ich verstehenbewerten darüber.', 'Wir müssen verstehenbewerten.', 'Verstehenbewerten ist wichtig.']"
glücklich_var125,zustände,Körperlich in Ordnung (Variante),2,"['Ich bin glücklich_var125.', 'Du siehst glücklich_var125 aus.', 'Glücklich_var125 fühlen ist normal.']"
analysierenlösen,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich analysierenlösen darüber.', 'Wir müssen analysierenlösen.', 'Analysierenlösen ist wichtig.']"
müdetraurig,zustände,Hohe Temperatur (Variante),2,"['Ich bin müdetraurig.', 'Du siehst müdetraurig aus.', 'Müdetraurig fühlen ist normal.']"
stuhlfenster,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein stuhlfenster.', 'Ich brauche einen stuhlfenster.', 'Der stuhlfenster ist hier.']"
rotrosa,farben,Farbe der Blätter (Variante),1,"['Das ist rotrosa.', 'Ich sehe etwas rotrosaes.', 'Rotrosa ist eine Farbe.']"
gesund_var110,zustände,Niedrige Temperatur (Variante),2,"['Ich bin gesund_var110.', 'Du siehst gesund_var110 aus.', 'Gesund_var110 fühlen ist normal.']"
dreie,zahlen,Zahl 10 (Variante),1,"['Ich zähle bis dreie.', 'Dreie Dinge.', 'Das sind dreie Objekte.']"
gesundtraurig,zustände,Körperlich in Ordnung (Variante),2,"['Ich bin gesundtraurig.', 'Du siehst gesundtraurig aus.', 'Gesundtraurig fühlen ist normal.']"
wennalle,logik,Verbindung (Variante),5,"['Wennalle das stimmt.', 'Das ist wennalle wahr.', 'Wennalle bedeutet...']"
oder_var134,logik,Teilmenge (Variante),5,"['Oder_var134 das stimmt.', 'Das ist oder_var134 wahr.', 'Oder_var134 bedeutet...']"
wenndann,logik,Alternative (Variante),5,"['Wenndann das stimmt.', 'Das ist wenndann wahr.', 'Wenndann bedeutet...']"
alleeinige,logik,Alternative (Variante),5,"['Alleeinige das stimmt.', 'Das ist alleeinige wahr.', 'Alleeinige bedeutet...']"
zwei_var132,zahlen,Zahl 6 (Variante),1,"['Ich zähle bis zwei_var132.', 'Zwei_var132 Dinge.', 'Das sind zwei_var132 Objekte.']"
neun,zahlen,Zahl 9,1,"['Ich zähle bis neun.', 'Neun Dinge.', 'Das sind neun Objekte.']"
violett_var121,farben,Farbe der Erde (Variante),1,"['Das ist violett_var121.', 'Ich sehe etwas violett_var121es.', 'Violett_var121 ist eine Farbe.']"
weißviolett,farben,Mischfarbe rot-blau (Variante),1,"['Das ist weißviolett.', 'Ich sehe etwas weißviolettes.', 'Weißviolett ist eine Farbe.']"
weilund,logik,Teilmenge (Variante),5,"['Weilund das stimmt.', 'Das ist weilund wahr.', 'Weilund bedeutet...']"
traurig,zustände,Negative Emotion,2,"['Ich bin traurig.', 'Du siehst traurig aus.', 'Traurig fühlen ist normal.']"
zehn_var127,zahlen,Zahl 7 (Variante),1,"['Ich zähle bis zehn_var127.', 'Zehn_var127 Dinge.', 'Das sind zehn_var127 Objekte.']"
lernen_var121,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich lernen_var121 darüber.', 'Wir müssen lernen_var121.', 'Lernen_var121 ist wichtig.']"
telefontisch,objekte,Öffnung in der Wand (Variante),1,"['Das ist ein telefontisch.', 'Ich brauche einen telefontisch.', 'Der telefontisch ist hier.']"
krank_var141,zustände,Gefühl nach dem Essen (Variante),2,"['Ich bin krank_var141.', 'Du siehst krank_var141 aus.', 'Krank_var141 fühlen ist normal.']"
müdewach,zustände,Negative Emotion (Variante),2,"['Ich bin müdewach.', 'Du siehst müdewach aus.', 'Müdewach fühlen ist normal.']"
lösenplanen,aktionen,Vorgehensweise festlegen (Variante),4,"['Ich lösenplanen darüber.', 'Wir müssen lösenplanen.', 'Lösenplanen ist wichtig.']"
rennenrollen,bewegungen,Sich in die Luft bewegen (Variante),2,"['Ich kann rennenrollen.', 'Wir rennenrollen zusammen.', 'Rennenrollen ist eine Bewegung.']"
verstehenerschaffen,aktionen,Systematisch untersuchen (Variante),4,"['Ich verstehenerschaffen darüber.', 'Wir müssen verstehenerschaffen.', 'Verstehenerschaffen ist wichtig.']"
lampefenster,objekte,Möbel zum Sitzen (Variante),1,"['Das ist ein lampefenster.', 'Ich brauche einen lampefenster.', 'Der lampefenster ist hier.']"
erklärenbewerten,aktionen,Verständlich machen (Variante),4,"['Ich erklärenbewerten darüber.', 'Wir müssen erklärenbewerten.', 'Erklärenbewerten ist wichtig.']"
einigee,logik,Negation (Variante),5,"['Einigee das stimmt.', 'Das ist einigee wahr.', 'Einigee bedeutet...']"
blau_var126,farben,Mischfarbe rot-blau (Variante),1,"['Das ist blau_var126.', 'Ich sehe etwas blau_var126es.', 'Blau_var126 ist eine Farbe.']"
hungrigsatt,zustände,Gefühl nach dem Essen (Variante),2,"['Ich bin hungrigsatt.', 'Du siehst hungrigsatt aus.', 'Hungrigsatt fühlen ist normal.']"
deshalballe,logik,Verbindung (Variante),5,"['Deshalballe das stimmt.', 'Das ist deshalballe wahr.', 'Deshalballe bedeutet...']"
schwimmenfliegen,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann schwimmenfliegen.', 'Wir schwimmenfliegen zusammen.', 'Schwimmenfliegen ist eine Bewegung.']"
zehnsieben,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis zehnsieben.', 'Zehnsieben Dinge.', 'Das sind zehnsieben Objekte.']"
autocomputer,objekte,Gerät für Licht (Variante),1,"['Das ist ein autocomputer.', 'Ich brauche einen autocomputer.', 'Der autocomputer ist hier.']"
fliegen_var137,bewegungen,Sehr schnell laufen (Variante),2,"['Ich kann fliegen_var137.', 'Wir fliegen_var137 zusammen.', 'Fliegen_var137 ist eine Bewegung.']"
planenentscheiden,aktionen,Verständlich machen (Variante),4,"['Ich planenentscheiden darüber.', 'Wir müssen planenentscheiden.', 'Planenentscheiden ist wichtig.']"
entscheiden_var137,aktionen,Geistige Tätigkeit (Variante),4,"['Ich entscheiden_var137 darüber.', 'Wir müssen entscheiden_var137.', 'Entscheiden_var137 ist wichtig.']"
braunblau,farben,Farbe der Blätter (Variante),1,"['Das ist braunblau.', 'Ich sehe etwas braunblaues.', 'Braunblau ist eine Farbe.']"
violett,farben,Mischfarbe rot-blau,1,"['Das ist violett.', 'Ich sehe etwas violettes.', 'Violett ist eine Farbe.']"
lernenanalysieren,aktionen,Etwas Neues schaffen (Variante),4,"['Ich lernenanalysieren darüber.', 'Wir müssen lernenanalysieren.', 'Lernenanalysieren ist wichtig.']"
traurig_var120,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin traurig_var120.', 'Du siehst traurig_var120 aus.', 'Traurig_var120 fühlen ist normal.']"
unddeshalb,logik,Verbindung (Variante),5,"['Unddeshalb das stimmt.', 'Das ist unddeshalb wahr.', 'Unddeshalb bedeutet...']"
blaugelb,farben,Alle Farben gemischt (Variante),1,"['Das ist blaugelb.', 'Ich sehe etwas blaugelbes.', 'Blaugelb ist eine Farbe.']"
buche,objekte,Gerät zur Kommunikation (Variante),1,"['Das ist ein buche.', 'Ich brauche einen buche.', 'Der buche ist hier.']"
rosae,farben,Mischfarbe rot-gelb (Variante),1,"['Das ist rosae.', 'Ich sehe etwas rosaees.', 'Rosae ist eine Farbe.']"
danneinige,logik,Teilmenge (Variante),5,"['Danneinige das stimmt.', 'Das ist danneinige wahr.', 'Danneinige bedeutet...']"
müdehungrig,zustände,Körperlich nicht in Ordnung (Variante),2,"['Ich bin müdehungrig.', 'Du siehst müdehungrig aus.', 'Müdehungrig fühlen ist normal.']"
tischauto,objekte,Gebäude zum Wohnen (Variante),1,"['Das ist ein tischauto.', 'Ich brauche einen tischauto.', 'Der tischauto ist hier.']"
hausauto,objekte,Sammlung von Seiten (Variante),1,"['Das ist ein hausauto.', 'Ich brauche einen hausauto.', 'Der hausauto ist hier.']"
vier_var114,zahlen,Zahl 8 (Variante),1,"['Ich zähle bis vier_var114.', 'Vier_var114 Dinge.', 'Das sind vier_var114 Objekte.']"
buchlampe,objekte,Möbel zum Sitzen (Variante),1,"['Das ist ein buchlampe.', 'Ich brauche einen buchlampe.', 'Der buchlampe ist hier.']"
einigedeshalb,logik,Vollständige Menge (Variante),5,"['Einigedeshalb das stimmt.', 'Das ist einigedeshalb wahr.', 'Einigedeshalb bedeutet...']"
grüngelb,farben,Alle Farben gemischt (Variante),1,"['Das ist grüngelb.', 'Ich sehe etwas grüngelbes.', 'Grüngelb ist eine Farbe.']"
gleitenkriechen,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann gleitenkriechen.', 'Wir gleitenkriechen zusammen.', 'Gleitenkriechen ist eine Bewegung.']"
undobwohl,logik,Verbindung (Variante),5,"['Undobwohl das stimmt.', 'Das ist undobwohl wahr.', 'Undobwohl bedeutet...']"
gesund,zustände,Körperlich in Ordnung,2,"['Ich bin gesund.', 'Du siehst gesund aus.', 'Gesund fühlen ist normal.']"
sechsfünf,zahlen,Zahl 9 (Variante),1,"['Ich zähle bis sechsfünf.', 'Sechsfünf Dinge.', 'Das sind sechsfünf Objekte.']"
warmtraurig,zustände,Bedürfnis nach Schlaf (Variante),2,"['Ich bin warmtraurig.', 'Du siehst warmtraurig aus.', 'Warmtraurig fühlen ist normal.']"
zehn_var124,zahlen,Zahl 3 (Variante),1,"['Ich zähle bis zehn_var124.', 'Zehn_var124 Dinge.', 'Das sind zehn_var124 Objekte.']"
grün_var134,farben,Mischfarbe rot-blau (Variante),1,"['Das ist grün_var134.', 'Ich sehe etwas grün_var134es.', 'Grün_var134 ist eine Farbe.']"
lernenlösen,aktionen,Etwas Neues schaffen (Variante),4,"['Ich lernenlösen darüber.', 'Wir müssen lernenlösen.', 'Lernenlösen ist wichtig.']"
sechse,zahlen,Zahl 2 (Variante),1,"['Ich zähle bis sechse.', 'Sechse Dinge.', 'Das sind sechse Objekte.']"
planenverstehen,aktionen,Geistige Tätigkeit (Variante),4,"['Ich planenverstehen darüber.', 'Wir müssen planenverstehen.', 'Planenverstehen ist wichtig.']"
tanzenrennen,bewegungen,Sich am Boden fortbewegen (Variante),2,"['Ich kann tanzenrennen.', 'Wir tanzenrennen zusammen.', 'Tanzenrennen ist eine Bewegung.']"
kranktraurig,zustände,Negative Emotion (Variante),2,"['Ich bin kranktraurig.', 'Du siehst kranktraurig aus.', 'Kranktraurig fühlen ist normal.']"
fenstertelefon,objekte,Gerät für Licht (Variante),1,"['Das ist ein fenstertelefon.', 'Ich brauche einen fenstertelefon.', 'Der fenstertelefon ist hier.']"
wachmüde,zustände,Bedürfnis nach Nahrung (Variante),2,"['Ich bin wachmüde.', 'Du siehst wachmüde aus.', 'Wachmüde fühlen ist normal.']"
orange_var141,farben,Farbe des Himmels (Variante),1,"['Das ist orange_var141.', 'Ich sehe etwas orange_var141es.', 'Orange_var141 ist eine Farbe.']"
obwohl_var128,logik,Bedingung (Variante),5,"['Obwohl_var128 das stimmt.', 'Das ist obwohl_var128 wahr.', 'Obwohl_var128 bedeutet...']"
allenicht,logik,Alternative (Variante),5,"['Allenicht das stimmt.', 'Das ist allenicht wahr.', 'Allenicht bedeutet...']"
gehen_var119,bewegungen,Sich durch die Luft bewegen (Variante),2,"['Ich kann gehen_var119.', 'Wir gehen_var119 zusammen.', 'Gehen_var119 ist eine Bewegung.']"
verstehenplanen,aktionen,Problem beheben (Variante),4,"['Ich verstehenplanen darüber.', 'Wir müssen verstehenplanen.', 'Verstehenplanen ist wichtig.']"
neun_var133,zahlen,Zahl 4 (Variante),1,"['Ich zähle bis neun_var133.', 'Neun_var133 Dinge.', 'Das sind neun_var133 Objekte.']"
tanzen_var112,bewegungen,Reibungslos bewegen (Variante),2,"['Ich kann tanzen_var112.', 'Wir tanzen_var112 zusammen.', 'Tanzen_var112 ist eine Bewegung.']"
kriechenlaufen,bewegungen,Sich langsam fortbewegen (Variante),2,"['Ich kann kriechenlaufen.', 'Wir kriechenlaufen zusammen.', 'Kriechenlaufen ist eine Bewegung.']"
tanzenrollen,bewegungen,Sich im Wasser fortbewegen (Variante),2,"['Ich kann tanzenrollen.', 'Wir tanzenrollen zusammen.', 'Tanzenrollen ist eine Bewegung.']"
